strd_yr|sopsrt_clsf_cd|std_adstrd_cd|adstrd_nm|lnno_adres|exche_gtn|la|lo|data_no
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|2102102.000|37.5785517383|126.8108602175|13
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|2180791.000|37.5785517383|126.8108602175|14
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|422951.000|37.5746879675|126.8192626220|1
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|561404.000|37.5746879675|126.8192626220|2
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|565396.000|37.5746879675|126.8192626220|3
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|584795.000|37.5746879675|126.8192626220|4
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|604288.000|37.5746879675|126.8192626220|5
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|623782.000|37.5746879675|126.8192626220|6
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|684211.000|37.5746879675|126.8192626220|7
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|756335.000|37.5746879675|126.8192626220|8
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|771930.000|37.5746879675|126.8192626220|9
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|824561.000|37.5746879675|126.8192626220|10
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|843254.000|37.5746879675|126.8192626220|11
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|844055.000|37.5746879675|126.8192626220|12
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|846004.000|37.5746879675|126.8192626220|13
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|879142.000|37.5746879675|126.8192626220|14
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1531987.000|37.5746879675|126.8192626220|15
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1585859.000|37.5746879675|126.8192626220|16
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1602694.000|37.5746879675|126.8192626220|17
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1612795.000|37.5746879675|126.8192626220|18
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1626936.000|37.5746879675|126.8192626220|19
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1663300.000|37.5746879675|126.8192626220|20
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1716498.000|37.5746879675|126.8192626220|21
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1764310.000|37.5746879675|126.8192626220|22
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1831650.000|37.5746879675|126.8192626220|23
2021|PB|11500641|방화3동|서울시 강서구 방화대로48길40|1949495.000|37.5746879675|126.8192626220|24
2021|PB|11530770|오류1동|서울시 구로구 경인로 221|832205.000|37.4970345325|126.8451467916|1
2021|PB|11530770|오류1동|서울시 구로구 경인로 221|870458.000|37.4970345325|126.8451467916|2
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|520833.000|37.5650038928|126.8520224373|1
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|532407.000|37.5650038928|126.8520224373|2
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|538194.000|37.5650038928|126.8520224373|3
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|563953.000|37.5650038928|126.8520224373|4
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|587906.000|37.5650038928|126.8520224373|5
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|588663.000|37.5650038928|126.8520224373|6
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|592105.000|37.5650038928|126.8520224373|7
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|593985.000|37.5650038928|126.8520224373|8
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|598684.000|37.5650038928|126.8520224373|9
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|599415.000|37.5650038928|126.8520224373|10
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|601852.000|37.5650038928|126.8520224373|11
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|607287.000|37.5650038928|126.8520224373|12
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|607639.000|37.5650038928|126.8520224373|13
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|609023.000|37.5650038928|126.8520224373|14
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|611842.000|37.5650038928|126.8520224373|15
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|616541.000|37.5650038928|126.8520224373|16
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|618421.000|37.5650038928|126.8520224373|17
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|715618.000|37.5650038928|126.8520224373|18
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|726852.000|37.5650038928|126.8520224373|19
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|741898.000|37.5650038928|126.8520224373|20
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|763889.000|37.5650038928|126.8520224373|21
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|1097222.000|37.5650038928|126.8520224373|22
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|1113426.000|37.5650038928|126.8520224373|23
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|1114198.000|37.5650038928|126.8520224373|24
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|1161972.000|37.5650038928|126.8520224373|25
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|2327327.000|37.5650038928|126.8520224373|26
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|2364865.000|37.5650038928|126.8520224373|27
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|2380952.000|37.5650038928|126.8520224373|28
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|2954204.000|37.5650038928|126.8520224373|29
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|2957958.000|37.5650038928|126.8520224373|30
2021|PB|11500604|가양2동|서울시 강서구 양천로57길37|3222286.000|37.5650038928|126.8520224373|31
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|374023.000|37.5635136398|126.8545074448|1
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|376884.000|37.5635136398|126.8545074448|2
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|389447.000|37.5635136398|126.8545074448|3
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|398829.000|37.5635136398|126.8545074448|4
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|399096.000|37.5635136398|126.8545074448|5
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|400000.000|37.5635136398|126.8545074448|6
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|400391.000|37.5635136398|126.8545074448|7
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|406032.000|37.5635136398|126.8545074448|8
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|412727.000|37.5635136398|126.8545074448|9
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|415663.000|37.5635136398|126.8545074448|10
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|429234.000|37.5635136398|126.8545074448|11
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|494663.000|37.5635136398|126.8545074448|12
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|537440.000|37.5635136398|126.8545074448|13
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|545159.000|37.5635136398|126.8545074448|14
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|559387.000|37.5635136398|126.8545074448|15
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|561432.000|37.5635136398|126.8545074448|16
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|565327.000|37.5635136398|126.8545074448|17
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|652174.000|37.5635136398|126.8545074448|18
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|657407.000|37.5635136398|126.8545074448|19
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|694444.000|37.5635136398|126.8545074448|20
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|793467.000|37.5635136398|126.8545074448|21
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|797325.000|37.5635136398|126.8545074448|22
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|846429.000|37.5635136398|126.8545074448|23
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|872222.000|37.5635136398|126.8545074448|24
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|901370.000|37.5635136398|126.8545074448|25
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1057121.000|37.5635136398|126.8545074448|26
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1071164.000|37.5635136398|126.8545074448|27
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1072629.000|37.5635136398|126.8545074448|28
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1139937.000|37.5635136398|126.8545074448|29
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1174648.000|37.5635136398|126.8545074448|30
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1175342.000|37.5635136398|126.8545074448|31
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1542898.000|37.5635136398|126.8545074448|32
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1669102.000|37.5635136398|126.8545074448|33
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1700000.000|37.5635136398|126.8545074448|34
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1714815.000|37.5635136398|126.8545074448|35
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1771362.000|37.5635136398|126.8545074448|36
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1775599.000|37.5635136398|126.8545074448|37
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1899155.000|37.5635136398|126.8545074448|38
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1905193.000|37.5635136398|126.8545074448|39
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1926399.000|37.5635136398|126.8545074448|40
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|1962560.000|37.5635136398|126.8545074448|41
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|2069686.000|37.5635136398|126.8545074448|42
2021|PB|11500604|가양2동|서울시 강서구 양천로57길36|2514430.000|37.5635136398|126.8545074448|43
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|602006.000|37.5098596536|126.8629204026|1
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|666244.000|37.5098596536|126.8629204026|2
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|786210.000|37.5098596536|126.8629204026|3
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|793489.000|37.5098596536|126.8629204026|4
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|793651.000|37.5098596536|126.8629204026|5
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|874042.000|37.5098596536|126.8629204026|6
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|916242.000|37.5098596536|126.8629204026|7
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|927097.000|37.5098596536|126.8629204026|8
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|952158.000|37.5098596536|126.8629204026|9
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|962539.000|37.5098596536|126.8629204026|10
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|975800.000|37.5098596536|126.8629204026|11
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1040163.000|37.5098596536|126.8629204026|12
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1091954.000|37.5098596536|126.8629204026|13
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1092753.000|37.5098596536|126.8629204026|14
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1202636.000|37.5098596536|126.8629204026|15
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1218375.000|37.5098596536|126.8629204026|16
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1218413.000|37.5098596536|126.8629204026|17
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1383648.000|37.5098596536|126.8629204026|18
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1651090.000|37.5098596536|126.8629204026|19
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1708204.000|37.5098596536|126.8629204026|20
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1710988.000|37.5098596536|126.8629204026|21
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1746111.000|37.5098596536|126.8629204026|22
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1775963.000|37.5098596536|126.8629204026|23
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1839623.000|37.5098596536|126.8629204026|24
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1868687.000|37.5098596536|126.8629204026|25
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1902516.000|37.5098596536|126.8629204026|26
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1939203.000|37.5098596536|126.8629204026|27
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1970650.000|37.5098596536|126.8629204026|28
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|1988577.000|37.5098596536|126.8629204026|29
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|2158681.000|37.5098596536|126.8629204026|30
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|2168035.000|37.5098596536|126.8629204026|31
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|2639311.000|37.5098596536|126.8629204026|32
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|2663551.000|37.5098596536|126.8629204026|33
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|2664325.000|37.5098596536|126.8629204026|34
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|2688882.000|37.5098596536|126.8629204026|35
2021|PB|11470680|신정7동|서울시 양천구 목동로 3길 57|2898323.000|37.5098596536|126.8629204026|36
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|465658.000|37.5643044991|126.9011979771|1
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|471807.000|37.5643044991|126.9011979771|2
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|475831.000|37.5643044991|126.9011979771|3
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|476190.000|37.5643044991|126.9011979771|4
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|477299.000|37.5643044991|126.9011979771|5
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|477642.000|37.5643044991|126.9011979771|6
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|481190.000|37.5643044991|126.9011979771|7
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|481651.000|37.5643044991|126.9011979771|8
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|483384.000|37.5643044991|126.9011979771|9
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|485437.000|37.5643044991|126.9011979771|10
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|485528.000|37.5643044991|126.9011979771|11
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|487465.000|37.5643044991|126.9011979771|12
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|488599.000|37.5643044991|126.9011979771|13
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|488941.000|37.5643044991|126.9011979771|14
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|490272.000|37.5643044991|126.9011979771|15
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|492602.000|37.5643044991|126.9011979771|16
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|497835.000|37.5643044991|126.9011979771|17
